                                  column                                   match                                   label type csv grp show sort srch wdth
                     "PW_NON-OES_YEAR_6"                     "PW_NON-OES_YEAR_6"                     "PW_NON-OES_YEAR_6"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_6"                 "PW_SURVEY_PUBLISHER_6"                 "PW_SURVEY_PUBLISHER_6"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_6"                      "PW_SURVEY_NAME_6"                      "PW_SURVEY_NAME_6"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_7"                    "WORKSITE_WORKERS_7"                    "WORKSITE_WORKERS_7"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_7"                    "SECONDARY_ENTITY_7"                    "SECONDARY_ENTITY_7"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_7"      "SECONDARY_ENTITY_BUSINESS_NAME_7"      "SECONDARY_ENTITY_BUSINESS_NAME_7"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_7"                   "WORKSITE_ADDRESS1_7"                   "WORKSITE_ADDRESS1_7"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_7"                   "WORKSITE_ADDRESS2_7"                   "WORKSITE_ADDRESS2_7"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_7"                       "WORKSITE_CITY_7"                       "WORKSITE_CITY_7"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_7"                     "WORKSITE_COUNTY_7"                     "WORKSITE_COUNTY_7"  chr   0   0    0    0    0    0
                      "WORKSITE_STATE_7"                      "WORKSITE_STATE_7"                      "WORKSITE_STATE_7"  chr   0   0    0    0    0    0
                "WORKSITE_POSTAL_CODE_7"                "WORKSITE_POSTAL_CODE_7"                "WORKSITE_POSTAL_CODE_7"  chr   0   0    0    0    0    0
               "WAGE_RATE_OF_PAY_FROM_7"               "WAGE_RATE_OF_PAY_FROM_7"               "WAGE_RATE_OF_PAY_FROM_7"  num   0   0    0    0    0    0
                 "WAGE_RATE_OF_PAY_TO_7"                 "WAGE_RATE_OF_PAY_TO_7"                 "WAGE_RATE_OF_PAY_TO_7"  num   0   0    0    0    0    0
                    "WAGE_UNIT_OF_PAY_7"                    "WAGE_UNIT_OF_PAY_7"                    "WAGE_UNIT_OF_PAY_7"  log   0   0    0    0    0    0
                     "PREVAILING_WAGE_7"                     "PREVAILING_WAGE_7"                     "PREVAILING_WAGE_7"  num   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_7"                      "PW_UNIT_OF_PAY_7"                      "PW_UNIT_OF_PAY_7"  log   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_7"                  "PW_TRACKING_NUMBER_7"                  "PW_TRACKING_NUMBER_7"  chr   0   0    0    0    0    0
